Machine summarization,,,Gold standards
"One bad game and Pogba is on the bench. Matic 10 s of bad games but still plays. Why? Jose probably favouring players @MrStephenHowson @AdamMcKola @FullTimeDEVILS @ManUtd #MUFC #mufc we ain't bad do.... #MUNARS Bad feeling about Arsenal here 5 - Harry Kane has now scored five of Tottenham s last seven Premier League goals against Southampton, including each of the last three. Thorn. https://t.co/aThWcmSOtm @ETieliemans09 @FootySuperTips Who s Harry Kane ? Is he as good as welbeck?","5 - Harry Kane has now scored five of Tottenham’s last seven Premier League goals against Southampton, including each of the last three. Thorn. @ETieliemans09 @FootySuperTips Who’s Harry Kane ? Is he as good as welbeck? we ain't bad do....","One bad game and Pogba is on the bench. Matic 10’s of bad games but still plays. Why? Jose probably favouring players @MrStephenHowson @AdamMcKola @FullTimeDEVILS @ManUtd. 5 - Harry Kane has now scored five of Tottenham’s last seven Premier League goals against Southampton, including each of the last three. Thorn.",
Wtf was that Bellerin lol Unlucky Bellerin That was too poor Bellerin Has Bellerin ever had a good shot? Bellerin SMH Bellerin loool Come on Bellerin! @MrDtAFC Bellerin the donkey Bellerin should never shoot  I still get scared when Bellerin has the ball Bellerin gets in top 3 best chances for Arsenal but never finishes ... Bellerin is so shit at shooting lol bellerin Bellerin needs to be banned from shooting #Arsenal Manchester United starting 1st 11 De gea Pogba Martial Guess who's the elephant  Manchester United starting XI: Martial  Fuck sakeeeeeeee Bellerin Fucking hell bellerin Bellerin what was that?,Manchester United starting 1st 11 De gea 🐂 🐂 🐂 🐂 🐂 🐂 Pogba Martial 🐘 🐂 🤣🤣🤣🤣🤣. Has Bellerin ever had a good shot? I still get scared when Bellerin has the ball.,Bellerin gets in top 3 best chances for Arsenal but never finishes ... Manchester United starting 1st 11 De gea 🐂 🐂 🐂 🐂 🐂 🐂 Pogba Martial 🐘 🐂 🤣🤣🤣🤣🤣.,
"United look decent. Arsenal look decent. Huh. Weird. https://t.co/5QFBSrhsUZ United not looking to bad at the moment. Rojo and Bailly look decent playing out from the back #MUNARS Really good possession now for the Arsenal #MUNARS Ball Possession: Arsenal 98 - 0 United. Lovely football with a good little bit of possession. Better from Arsenal, more of that please! #afc",United look decent. Arsenal look decent. Huh. Weird. Ball Possession: Arsenal 98% - 0% United. Really good possession now for the Arsenal.,"Lovely football with a good little bit of possession. Better from Arsenal, more of that please!",
Arsenal dey ball #ARS #manuars RT @yaniu8: No Arsenal is the type of club that would win North London derby to make it 19 game unbeaten but then lose to Manchester United  RT @Vintage_Utd: Manchester United are the type of club that would end Arsenal s 19-game unbeaten streak tonight but then lose at home to F  Arsenal are in control atm Arsenal starting to control the game now. Played well first 15 minutes and back to same old same old. @Arsenal don dey ball  Who dey home? #MUNARS,No Arsenal is the type of club that would win North London derby to make it 19 game unbeaten but then lose to Manchester United… Arsenal starting to control the game now. Who dey home?,Arsenal dey ball. Played well first 15 minutes and back to same old same old. Arsenal in control now.,
"GOAL for Arsenal Man Utd 0 - 1 Arsenal scored by S Mustafi on 25:24 RT @premierleague: GOAL Man Utd 0-1 Arsenal 26 mins Mustafi sends a powerful header on target which De Gea cannot keep out #MUNARS Man United 0-1 Arsenal Mustafi - Torreira with the corner, Mustafi free header, De Gea couldn't keep it out #MUFCvAFC Goal - 26th minute - Mustafi, Arsenal United 0-1 Arsenal From an Arsenal corner Mustafi s header is not dealt wit https://t.co/987S6DM9hL Error from De gea and Arsenal have a goal Manchester United 0-1 Arsenal #MUNARS","Oh you will want to watch this on @thetimes app! Arsenal take the lead at Old Trafford through a Mustafi header tha… Goal for Arsenal! Dodgy, goal line tech was needed, but Mustafi heads it home! 0-1 Arsenal. 0-1 De Gea fails to deal with Mustafi's header and Herrera can't clear it off the line in time.","0-1 De Gea fails to deal with Mustafi's header and Herrera can't clear it off the line in time. You know it's not going to happen for Manchester United when David de Gea is making mistakes like that. Let’s not get carried away here. De Gea is still one of the best keepers in the world... It seems like he just wants Mourinho gone. Gooooaaaal!!!! Arsenal take the lead, bizarrely so. Goal line technology confirmed the goal. De Gea could’ve done better there.",Mustafi plunges to meet a corner with a header into the ground. It bounces up ... and De Gea somehow allow it to slip through both his hands. Herrera tried to boot it off the line but technology lets the ref know the ball had crossed. Arsenal have the lead thanks to an awful mistake by United’s normally reliable keeper!
"RT @caesar_TheF: What is Iwobi doing why is Iwobi even f n playing I don t see how iwobi starts for Arsenal I really don t. RT @KiyanSo: How do you even concede that goal that Manchester United just conceded. I don t care what the goal line tech says, that didn t look like it completely crossed the line. Man, that was awful from De Gea And it confirms what I've been saying for so long now: De Gea isn't the best in t https://t.co/cVAS6xXigh RT @TheFrstDellyist: De Gea is so shit now, he's gifting Arsenal goals.","seriously, wtf were Kolasinac and Iwobi doing there? especially Iwobi, just fucking stick your foot out and clear it 😂. Iwobi needs to get his big head into the game. De Gea is so shit now, he's gifting Arsenal goals. Not my goalkeeper.","Man, that was awful from De Gea 😂 And it confirms what I've been saying for so long now: De Gea isn't the best in t… De Gea is so shit now, he's gifting Arsenal goals. Not my goalkeeper. Another set-piece goal conceded by . Arsenal dominated this the last 15. Bad error by De Gea.",Mustafi plunges to meet a corner with a header into the ground. It bounces up ... and De Gea somehow allow it to slip through both his hands. Herrera tried to boot it off the line but technology lets the ref know the ball had crossed. Arsenal have the lead thanks to an awful mistake by United’s normally reliable keeper!
Diving Martial...i hope you enjoyed that. 1-1 #MUNARS RT @GoalFlashNG: Manchester United 1-1 Arsenal 30' #MUNARS https://t.co/BkVjmvjNQd 45 Burnley 0-0 Liverpool Everton 1-1 Newcastle Fulham 1-0 Leicester Wolves 0-1 Chelsea 31 Man Utd 1-1 Arsenal https://t.co/iYou9BFvdP  30' Martial Manchester United 1-1 Arsenal There back in the game through Martial who scores his eight. Live: Manchester United Vs Arsenal 1-1 Premier League https://t.co/3Yf3rGRWDS Martial goal Manchester United vs Arsenal 1-1 https://t.co/E7tkFY4zVY RT @SuperSportBlitz: #PL Goal Alert: Man United 1-1 Arsenal Martial 30 #SSFootball,"⚽️30' (Martial) Manchester United 1-1 Arsenal There back in the game through Martial who scores his eight. Leno sa… A dive followed by an offside call going Uniteds way, just has to be old trafford. After De Gea's mistake, Anthony Martial puts Manchester United back on level terms at Old Trafford. United 1-1 Arse…","Martial dives, Herrera is offside, ends in a goal, old trafford will always win these games with their officials. And Manchester United are back in this game....... Martial equalize for United.. Manchester United 1-1 Arsenal.",
"Goallll from Manchester United FC Goallll from Martial Gooool de Manchester United FC Gooool de Martial Premier League Live Man United vs Arsenal Live Everton vs Newcastle Live Wolves vs Chelsea Live Burnley vs Liverpool Live Fulham vs Leicester City EPL Live Tottenham vs Southampton Live Premier League 2018/2019 Live Streaming Free Here. Anthony Martial has scored 7 Premier League goals in 12 games this season, having managed 9 in 30 last season. 2 - Anthony Martial is just the second Manchester United player to score a Premier League goal on his birthday, aft https://t.co/AnqOtfri3X","Anthony Martial has scored 7 Premier League goals in 12 games this season, having managed 9 in 30 last season. A strike for the birthday boy. 🎁🎂. It's going from bad to worse. Rob Holding is coming off, looks like a knee injury. Arsenal fans complaining about an offside goal after they scrapped one past the goal line.","Anthony Martial has scored 7 Premier League goals in 12 games this season, having managed 9 in 30 last season. A strike for the birthday boy. 🎁🎂. Anthony Martial has scored 7 Premier League goals in 12 games this season, having managed 9 in 30 last season. A strike for the birthday boy. 🎁🎂. If Rob holding gets injured in this game, it's his fucking fault. That kid plays with fear.","United 1-1 Arsenal (Martial 31) United equalise almost immediately! Rojo curled a decent freekick over the wall. Leno pushed it wide but Herrera retrieved it and pulled a gentle low cross back into the six-yard area. Two Arsenal players missed it but Martial did not, sweeping it into the net from six yards!"
"Arsenal fans moaning about Herrera need to realize VAR would ve called the Mustafi goal back too #MUFC Herrera offside sets up a #ManU goal....why don t we have VAR on goals again @premierleague ? Herrera was offside for that goal, if only premier league had VAR #MUNARS RT @Ultra_Suristic: VAR would ve cancelled United s equaliser for offside. Manchester United v Arsenal - 50 million Down the drain Tony Martial scores again! https://t.co/lJBvqYCNLq  31' Martial Manchester United 1-1 Arsenal There back in the game through Martial. Ffs Arsenal s lead only lasted 5 mins and was made possible from an offside goal.","Var where are you ? Herrera was offside but goal is counted cuz there is no var 😑. Iwobi ball watching - clear the fucking ball kid!! Poor decision from guendouzi, poor decision from the lines man, poor defending from arsenal, sharp martial.",Var where are you ? Herrera was offside but goal is counted cuz there is no var 😑. 30’ Rojo hits the free kick which Leno saves and Martial smashes the ball into the back of the net! 🔴1-1🔵.,"That was weak defending by Arsenal. They were too slow to react after Leno batted the ball away from his goal. Mind you, Herrera was fractionally offside when the freekick was taken, which is why he was able to get to the ball first. Arsenal should still have cut out his cross, though."
"RT @TheSportsman: David De Gea doing his best Jordan Pickford impression there... A goal that David De Gea will want to forget quickly... Paul Pogba cost 89m, Romelu Lukaku cost 75m and Fred cost 47m. I know United were linked with Jordan Pickford but didn t realise they d signed him already #DeGea #MUNARS RT @442oons: David De Gea been taking tips of Pickford then... 9 - Manchester United have now conceded as many goals at Old Trafford in the Premier League this season nine goals in seven games as they did in the whole of 2017-18 nine in 18 games .","9 - Manchester United have now conceded as many goals at Old Trafford in the Premier League this season (nine goals in seven games) as they did in the whole of 2017-18 (nine in 18 games). Porous. De Gea has joined the Pickford's challenge... Thank you Martial. Paul Pogba cost £89m, Romelu Lukaku cost £75m and Fred cost £47m. All together they cost the club £211m and neither of the 3 start tonight. “But José wasn’t backed.”.","Paul Pogba cost £89m, Romelu Lukaku cost £75m and Fred cost £47m. All together they cost the club £211m and neither of the 3 start tonight. “But José wasn’t backed.”. Paul Pogba cost £89m, Romelu Lukaku cost £75m and Fred cost £47m. All together they cost the club £211m and neither of the 3 start tonight. “But José wasn’t backed.”. 9 - Manchester United have now conceded as many goals at Old Trafford in the Premier League this season (nine goals in seven games) as they did in the whole of 2017-18 (nine in 18 games). Porous. I know United were linked with Jordan Pickford but didn’t realise they’d signed him already 😉 De Gea.",
"Rob Holding injured again, being carried off on a stretcher. Rob Holding is leaving the pitch on a stretcher after an earlier challenge by Rashford. That s the end of Rob s evening as he leaves the field on a stretcher @RobHolding95 @LichtsteinerSte #MUNARS 1-1 37 https://t.co/MSpdX0HRJs RT @IndyFootball: Rob Holding is carried off on a stretcher and Stephan Lichtsteiner will replace him #MUNARS https://t.co/91eb9EMPF6 A couple of minutes after Rob Holding leaves on a stretcher, Rojo goes flying in on Guendouzi. RT @premierleague: The perfect way to celebrate your birthday #MUNARS @AnthonyMartial https://t.co/RmSluyimEv","Rob Holding is leaving the pitch on a stretcher after an earlier challenge by Rashford. Lichtsteiner is going to come on. Old Trafford is a really enchanted place. Stupid goals, stupid injuries. Seems like they use woodoo...",Rob Holding is leaving the pitch on a stretcher after an earlier challenge by Rashford. Lichtsteiner is going to come on. how fucking come Rashford didn't get card for foul on Holding? Fucking Mourinho's cunt doing Mourinho's tactics.,"Holding is off the pitch receiving treatment on a knee after being clattered by Mad Dog Rashford. Lichtsteiner on, Holding off. Holding has departed on a stretcher."
"RT @afcstuff: Full-time: Manchester United 2-2 Arsenal Martial, Lingard Mustafi, Lacazette . Mustafi has to be the worst tackler in the history of football I ve seen strikers tackle better than him #MUNARS Lol, Mustafi tackle and Rojo tackle are worth the same card. Ugh, Rashford's tackle on Holding was greasy and reckless, so, of course Mustafi gets a yellow for tackling him #COYG absolute scumbags united. also mustafi should never be allowed to slide tackle again. RT @gunnerpunner: Mustafi with another stupid slide tackle ffs we re our own worst enemies RT @HSNVlogs: Holding s been injured &amp; gone off no foul.",absolute scumbags united. also mustafi should never be allowed to slide tackle again. 🔶 Yellow card for Shkodran Mustafi (Arsenal). Shkodran Mustafi (Arsenal) has 6 points in total! nice crunching tackle by mustafi! show em what we're made of!,"absolute scumbags united. also mustafi should never be allowed to slide tackle again. Yellow card for Mustafi after one of the poorest tackles of the round. Come on mate. Full-time: Manchester United 2-2 Arsenal (Martial, Lingard | Mustafi, Lacazette).","Mustafi booked for a sliding tackle on Rashford. He got the ball ... after sliding through Rashford’s left leg. United have a freekick a yard outside the box but a yard from the byline on the left. They play a sly one to the edge of the box, where Rojo is alone. He fires into a slew of bodies and then slides in to try to retrieve it, taking the feet of Guendouzi. That triggers some shoving and whingeing from Arsenal players. But maybe Rojo has done them a favour because they need to wake up a little here."
"RT @FunnyGooner: Ref just gave Bellerin cuz United players asked him to looolllll Ref is handing out yellow cards for fun now #MUNARS Ref s clearly made a bet on how many yellow cards will be given in the game #MUNARS RT @Stuhass88: Ref booking everything that moves, which is why I'm surprised Matic is on a yellow Ref might aswell give the medics and the fans yellow cards #MUNARS Ref passing yellow cards to this tune in his head. RT @UbaSocrates: Ref just got bullied into giving Bellerin a yellow  Ref just gave bellerin a yellow because united players complained?","50 game 💩 bias ref several reds not given 20 game 💩 ref 1 red not given What have they got in common Old Trafford 😛😛. Bellerin don foul Darmian but Ref no give am card. Lingard go meet ref, 'You be Ojoro master, why you no give am… Imagine this ref if this was an Arsenal vs United match from 15 years ago. Everyone would be sent off by now.","Bellerin don foul Darmian but Ref no give am card. Lingard go meet ref, 'You be Ojoro master, why you no give am… United singing ‘same old Arsenal always cheating’ because an arsenal player got taken out 🤔 idiots 😂. Such a shame if that’s a long term injury for Rob Holding, who was having his best spell of games yet and establishing hi…",
Flicked onto Man U v arsenal and there s been 5 yellow cards in the five minutes I ve been watching. I ve been watching this Arsenal/United match for five minutes and have seen five yellow cards  Arsenal's Hector Bellerin has been booked in this battle between Manchester United vs Arsenal 1 - 1 #MUNARS https://t.co/f8fFZQbSpY The referee booked Bellerin for a normal foul...lol I'll be honest Bellerin should have not been booked but nor did Lingard   Mustafi booked 37mins Rojo booked 38mins Lingard booked 40mins Bellerin booked 41mins Matic booke https://t.co/f7rQ9HFA9p,🔶 Mustafi booked (37mins) 🔶 Rojo booked (38mins) 🔶 Lingard booked (40mins) 🔶 Bellerin booked (41mins) 🔶 Matic booke… Matic taking one for the team as usual for these useless cunts. Bellerin booked hahahaha unreal match fixing.,🔶 Mustafi booked (37mins) 🔶 Rojo booked (38mins) 🔶 Lingard booked (40mins) 🔶 Bellerin booked (41mins) 🔶 Matic booke… Matic taking one for the team as usual for these useless cunts. Matic booked for pulling back Aubameyang. Five yellow cards in five minutes.,This is getting feisty. United wants Bellerin booked for a clumsy foul on Darmian. They get their wish. Matic becomes latest into the box for shamelessly pulling back Aubameyang as the Gabonese threatened to make his first dangerous run of the game.
"Arsenal fans one minute chanting Jose Mourinho, we want you to stay then the next chanting Fuck off Mourinho Ma https://t.co/TGvv7ILQjQ Arsenal fans one minute chanting Jose Mourinho, we want you to stay then the next chanting Fuck off Mourinho Make your mind up #MUNARS #MUFC #PremierLeague Andre Marriner is handing out cards here like it's Christmas time.... Andre Marriner has now given five yellow cards in five minutes and 10 seconds. RT @DonAlfieGarnett: Nice to see Andre marriner well in the Christmas spirit personally delivering cards #MUNARS RT @bet_clever: Andre Marrinner dishing out yellow cards like.......",Andre Marriner has now given five yellow cards in five minutes and 10 seconds. United vs Arsenal living up to its… Matic is soo slow on the ball ffs bench this guy 😤. Someone is definitely getting sent off in United arsenal.,"Andre Marriner has now given five yellow cards in five minutes and 10 seconds. United vs Arsenal living up to its… Arsenal fans one minute chanting “Jose Mourinho, we want you to stay” then the next chanting “Fuck off Mourinho” Ma… Jesse Lingard don collect yellow. Make my boys calm down o. I no wan see red card.",
"RT @Football__Tweet: Arsenal fans at Old Trafford: ""We want you to stay. If only Matic wasn't so slow at releasing the ball... Matic is so slow on the ball my gosh RT @DeludedGooner04: It s not even nastiness it s just people making mistakes. https://t.co/tYout3EniA 46 - Manchester United have made a total of 46 changes to their starting XI in the Premier League so far this season, including 7 changes tonight - more than any other team in the competition. RT @TeleFootball: Andre Marriner has given five yellow cards in the space of five minutes https://t.co/VBwg7EVLpb https://t.co/Ctv8uQeAra","46 - Manchester United have made a total of 46 changes to their starting XI in the Premier League so far this season, including 7 changes tonight - more than any other team in the competition. Tinkering. Matic is soooo slow. Why does he still start ? Matic takes a nasty one for the team.","Water for water, blood for blood. Red card ♦️loading 📀📀📀📀. United or arsenal will end up with 10 men tonight. Matic is too slow for this team abeg. Matic takes a nasty one for the team. Andre marriner well in the Christmas spirit personally delivering cards @Arsenal. 46 - Manchester United have made a total of 46 changes to their starting XI in the Premier League so far this season, including 7 changes tonight - more than any other team in the competition. Tinkering.",Matic becomes latest into the box for shamelessly pulling back Aubameyang as the Gabonese threatened to make his first dangerous run of the game.
"It looks like Andre Marriner wants to control the game before half time. Never thought I d say this, but we are missing Xhaka tonight Anyone who would have told me that a time would come when we would miss Xhaka , I for tear am s  RT @EliteAuba: We have missed Xhaka so much today man That chance aubameyang missed is vexing me, not the first time he is missing something similar this season RT @Dotuun_: We re really missing xhaka in this match Andre Marriner getting trigger happy with whistle giving yellow cards right now #MUNARS https://t.co/OlIRJay657","That chance aubameyang missed is vexing me, not the first time he is missing something similar this season. I think we missed Xhaka tonight. Really missed xhaka today.","That chance aubameyang missed is vexing me, not the first time he is missing something similar this season. Manchester United look like Stoke right now. Embarrassing club! The @premierleague know Andre Marriner is a terrible official but yet he gets massive matches week in out... In t…",
"We are a much better team in the second half, Arsenal have scored almost all of thier goals in the second half. Second Half FC vs Second Half FC are about to start the second half after finishing their first half 1/1 .. let s s https://t.co/RsIGNjF10k Arsenal have still not led at half time of a Premier League game, but have scored more second half goals than any team https://t.co/VBwg7EVLpb https://t.co/VqIwAKsnbM English #PL Half-time scores Burnley 0-0 Liverpool Everton 1-1 Newcastle Fulham 1-0 Leicester Wolves 0-1 Chelsea Man Utd 1-1 Arsenal Tottenham 1-0 Southampton You can still BET LIVE: https://t.co/ng92tqh1e5 https://t.co/BfmtXHw7fg","Dear Manchester United, Arsenal are a second half team. They have scored the most goals in the second half in the…","Dear Manchester United, Arsenal are a second half team. They have scored the most goals in the second half in the…","That was a low-quality half but Mourinho can have no quibble with his team’s attitude, at least. They’ve fought hard and the players returning to the side, especially Bailly and Rojo, have done well. Arsenal have been disappointing given the expectations with which they arrived and the fact that they were presented with a lead by a mistake from De Gea. They’ve been unable to get Aubemeyang into the game. Dare we suggest they’re missing Ozil? Mind you, they tend to be better in second halves under Emery so United still have much to do to claim a plucky home point."
"RT @jbaseball44: VAR at Old Trafford will lead to the end of United as a club When VAR comes in United aren t even getting top 10 tbh... fucking offside goals FC #MUNARS RT @TwoFourFours: Old Trafford with VAR gunna look like a snack  With VAR that goal doesn t stand, has to be asked why it s not in the premier league yet? Arsenal still haven t won at halftime this season wow RT @afcstuff: Arsenal fans chanting at Old Trafford: ""Jose Mourinho, we want you to stay."" RT @VieiraPaddy: Can t wait to come to Old Trafford with VAR","VAR will be many teams best asset going too old Trafford in future. With VAR that goal doesn’t stand, has to be asked why it’s not in the premier league yet? I promise you when VAR comes to the prem Arsenal will see justice.","VAR will be many teams best asset going too old Trafford in future. From the start I was waiting for 2nd half to start, Emery time starts now. For the first time all season, United are (somewhat) the better side in a match at halftime. Arsenal fans at Old Trafford: ""We want you to stay. We want you to staaaaayyy! Jose Mourinho! We want you to stay."" h…",
